,0
0,0.25743178
1,0.26503938
2,0.23300533
3,0.18068565
4,0.15587799
5,0.1397656
6,0.12609194
7,0.10670541
8,0.098257385
9,0.09462096
10,0.085962094
11,0.083413504
12,0.082897075
13,0.084614664
14,0.0911883
15,0.08298534
16,0.08566612
17,0.084715866
18,0.08915754
19,0.08742979
20,0.08449041
21,0.08104265
22,0.07903536
23,0.07721995
24,0.07678598
25,0.076293945
26,0.07740022
27,0.08843229
28,0.0911329
29,0.09000515
30,0.07852946
31,0.07630999
32,0.07752127
33,0.084056035
34,0.088718414
35,0.09261291
36,0.08558811
37,0.0772031
38,0.07341586
39,0.072206914
40,0.070858
41,0.07134316
42,0.069612846
43,0.06971802
44,0.07137075
45,0.07909763
46,0.0857964
47,0.082678
48,0.10491599
49,0.09510496
50,0.08078225
51,0.07378249
52,0.0705933
53,0.07070849
54,0.06849526
55,0.06782769
56,0.06830126
57,0.06874193
58,0.06917263
59,0.0704834
60,0.07455154
61,0.09850348
62,0.09333299
63,0.09257168
64,0.08070655
65,0.08441923
66,0.085895285
67,0.09750405
68,0.10034872
69,0.08837974
70,0.08252093
71,0.07789004
72,0.078736365
73,0.07746409
74,0.08493976
75,0.08570756
76,0.10658839
77,0.08306599
78,0.07562603
79,0.06977519
80,0.06868139
81,0.068239704
82,0.06758171
83,0.06776685
84,0.06741857
85,0.06802523
86,0.06982383
87,0.07378355
88,0.09488684
89,0.09810433
90,0.084951095
91,0.07257658
92,0.07191567
93,0.07187797
94,0.07562852
95,0.087546915
96,0.08020623
97,0.073746696
98,0.07092702
99,0.069373995
100,0.06815547
101,0.067157194
102,0.06640222
103,0.06588516
104,0.06577869
105,0.065759614
106,0.06569894
107,0.065820985
108,0.066129446
109,0.06695922
110,0.06848702
111,0.0690736
112,0.0720865
113,0.07235919
114,0.08083073
115,0.076004766
116,0.07312274
117,0.06983528
118,0.06911935
119,0.06788464
120,0.06730195
121,0.06725249
122,0.06727866
123,0.06805107
124,0.07097562
125,0.07931714
126,0.08729829
127,0.08057093
128,0.07371999
129,0.06928865
130,0.06791999
131,0.06720385
132,0.066803984
133,0.06696944
134,0.06959167
135,0.09859571
136,0.09573892
137,0.08526811
138,0.07306357
139,0.06912913
140,0.067094766
141,0.066327766
142,0.06582497
143,0.06566604
144,0.065625906
145,0.06618334
146,0.06657777
147,0.06775017
148,0.07050802
149,0.07156875
150,0.0720287
151,0.07178822
152,0.0714708
153,0.07046649
154,0.07201056
155,0.075775534
156,0.094573155
157,0.19273116
158,0.19059564
159,0.13450554
160,0.10787684
161,0.1010202
162,0.102261566
163,0.09089689
164,0.09388596
165,0.09313731
166,0.08969771
167,0.08903074
168,0.090231255
169,0.087302424
170,0.083797455
171,0.084661335
172,0.09184302
173,0.108137324
174,0.13265117
175,0.127533
176,0.12727855
177,0.101102546
178,0.10087705
179,0.09695037
180,0.09036238
181,0.08853905
182,0.08583571
183,0.08197205
184,0.08031826
185,0.08193328
186,0.08471164
187,0.10001485
188,0.12239647
189,0.13874045
190,0.12939125
191,0.1460215
192,0.12711328
193,0.10824256
194,0.10188282
195,0.09360133
196,0.09129913
197,0.09399812
198,0.085031
199,0.08178381
200,0.08040547
201,0.0854142
202,0.084323175
203,0.08991864
204,0.109806836
205,0.10041928
206,0.10103224
207,0.09676577
208,0.09856662
209,0.08411783
210,0.08467728
211,0.08355974
212,0.08078005
