,0
0,26.459837
1,22.799505
2,18.557077
3,14.933782
4,12.065422
5,11.810918
6,12.821672
7,10.192347
8,9.3400345
9,7.5137253
10,6.6182513
11,6.4190645
12,6.315523
13,6.305707
14,6.0484962
15,5.4568763
16,5.208362
17,5.079975
18,5.3909063
19,5.371887
20,5.192808
21,4.971625
22,4.3521943
23,4.4075007
24,4.7016635
25,4.340546
26,4.12403
27,4.179497
28,4.493095
29,4.1920514
30,4.0288935
31,4.005603
32,4.137513
33,4.03632
34,4.3471646
35,4.4797792
36,6.6781435
37,5.468437
38,4.8826747
39,4.3473887
40,4.3341966
41,4.6065607
42,4.0478063
43,3.7574906
44,3.901519
45,3.8985906
46,3.7136033
47,3.7413568
48,3.7271295
49,3.7102442
50,3.722512
51,3.5378723
52,3.5623748
53,3.4678326
54,3.5171196
55,3.5284941
56,3.5671272
57,3.5008364
58,3.3921204
59,3.4380322
60,3.5045626
61,3.4602904
62,3.4915287
63,3.490048
64,3.4292495
65,3.3516073
66,3.3386354
67,3.3951364
68,3.5924575
69,3.6454425
70,3.3808818
71,3.2120912
72,3.3703008
73,3.502487
74,3.399268
75,3.3944237
76,3.4138556
77,3.3916898
78,3.4443383
79,3.455059
80,3.3992057
81,3.1993916
82,3.3654556
83,3.334504
84,3.3639212
85,3.2530556
86,3.3426719
87,3.3192167
88,3.2830753
89,3.2026486
90,3.2584436
91,3.2460475
92,3.3466384
93,3.230417
94,3.2001204
95,3.2431922
96,3.2282095
97,3.2752213
98,3.2376318
99,3.3148866
100,3.263461
101,3.2095492
102,3.2384593
103,3.2538805
104,3.20151
105,3.187351
106,3.2547226
107,3.319937
108,3.3023176
109,3.2538207
110,3.2354178
111,3.2469628
112,3.2186546
113,3.2230754
114,3.195776
115,3.1868691
116,2.9111912
117,3.022999
118,2.8562512
119,2.9071918
120,3.0860121
121,3.0455222
122,3.0572052
123,2.9722476
124,3.06042
125,3.0180368
126,3.0126905
127,3.068599
128,3.0505672
129,3.120815
130,3.1539817
131,3.1701365
132,3.1353934
133,3.0119705
134,3.1292598
135,3.180581
136,3.1025448
137,2.9787674
138,3.0270452
139,3.1337168
140,3.1030924
141,3.2438223
142,2.948881
143,2.964076
144,3.0539968
145,3.0496976
146,3.0021052
147,3.088234
148,3.1811664
149,3.037227
150,3.0104783
151,3.1119614
152,3.1746535
153,3.0684547
154,3.1173294
155,3.0815797
156,3.0576751
157,2.9568655
158,2.9991302
159,3.0252202
160,2.829583
161,2.8283362
162,2.83284
163,2.8316956
164,2.8177872
165,2.9644442
166,2.9137406
167,2.8411477
168,2.972393
169,3.0235734
170,2.9655018
171,2.9707484
172,2.8949912
173,2.9319603
174,2.9404438
175,3.1475747
176,3.0596578
177,3.2791944
178,3.19911
179,2.8931787
180,2.9684958
181,2.9620323
182,2.9917665
183,2.9702048
184,2.9756033
185,2.9736242
186,3.0360847
187,2.9928708
188,2.9189575
189,2.9507258
190,2.8638086
191,2.7612987
192,2.700575
193,3.0053003
194,2.7500954
195,2.7911937
196,2.9611046
197,2.9269183
198,2.933128
199,2.9081197
200,3.019953
201,3.0764093
202,2.884581
203,2.8762
204,2.9605558
205,2.8436735
206,2.9790642
207,3.0548732
208,2.9994535
209,2.9980383
210,3.0710492
211,2.9755669
212,2.9159458
213,2.995001
214,2.8555505
215,2.9932425
216,2.844937
217,2.795543
218,2.851644
219,2.875425
220,3.014945
221,2.8469648
222,2.9130814
223,2.8696165
224,2.6685126
225,2.730958
226,2.9674802
227,2.8673043
228,2.816085
229,2.9576433
230,2.9453056
231,3.0071974
232,3.1031575
233,2.9183438
234,2.8146656
235,2.8826013
236,2.9541414
237,2.997801
238,2.9318273
239,2.9903884
240,2.9318354
241,2.9636457
242,3.032285
243,3.0466244
244,2.8012154
245,2.7889636
246,2.79731
247,2.883512
248,2.9044442
249,3.1902642
250,3.8390357
251,12.972849
252,10.363792
253,9.128506
254,7.991883
255,7.173601
256,6.646642
257,6.739236
258,5.8045955
259,5.0334167
260,4.4804716
261,4.2037888
262,4.0729303
263,4.022259
264,3.9880764
265,3.5587225
266,3.2734694
267,3.315956
268,3.1505485
269,3.0380816
270,2.8542783
271,2.8604069
272,2.8584027
273,2.6568565
274,2.6048427
275,2.7492611
276,2.5888166
277,2.5222917
278,2.4211013
279,2.2896743
280,2.2748551
281,2.338317
282,2.360228
283,2.270346
284,2.0599756
285,2.110526
286,2.1338463
287,2.1003377
288,2.0763679
289,2.1352186
290,2.0886586
291,2.1370072
292,2.1356363
293,2.166297
294,2.0941753
295,2.1206481
296,2.0449188
297,1.9849495
298,2.042034
299,2.018567
300,1.929814
301,1.9298093
302,2.0094693
303,1.9081475
304,1.9374304
305,1.9596043
306,1.9534297
307,1.9050064
308,1.9621782
309,1.9199016
310,1.9360061
311,1.9555147
312,1.9528183
313,1.8705591
314,1.9163313
315,1.8471284
316,1.8965966
317,1.9220445
318,2.0221775
319,1.8785505
320,1.8760023
321,1.8855646
322,1.9338186
323,1.8369064
324,1.8801694
325,1.889703
326,1.8836792
327,1.8040986
328,1.8534601
329,1.8004397
330,1.7702217
331,1.8468423
332,1.8011442
333,1.7847974
334,1.8009721
335,1.7782804
336,1.8008745
337,1.8149626
338,1.8210053
339,1.8201509
340,1.9131811
341,1.8023347
342,1.8013217
343,1.7854412
344,1.8378336
345,1.7789339
346,1.8143816
347,1.8184962
348,1.8075113
349,1.8182714
350,1.8119915
351,1.7703469
352,1.7560718
353,1.7878425
354,1.7491453
355,1.7587036
356,1.770078
357,1.7016721
358,1.6537944
359,1.7130909
360,1.6981742
361,1.7278181
362,1.6908066
363,1.711765
364,1.6694658
365,1.6715289
366,1.6526194
367,1.6709871
368,1.7036767
369,1.6927043
370,1.6731756
371,1.7244625
372,1.7277764
373,1.6910151
374,1.7176034
375,1.7922219
376,1.6982456
377,1.7715893
378,1.7280138
379,1.7515173
380,1.6859648
381,1.712317
382,1.6791887
383,1.714224
384,1.686918
385,1.7097999
386,1.674442
387,1.7301619
388,1.6467565
389,1.7191563
390,1.6767097
391,1.681386
392,1.66399
393,1.6981798
394,1.6592393
395,1.643538
396,1.6404777
397,1.7107018
398,1.6360402
399,1.6482737
400,1.6623728
401,1.6917956
402,1.6278031
403,1.6654913
404,1.6405998
405,1.6794534
406,1.6602263
407,1.6894568
408,1.6546693
409,1.6519026
410,1.6231315
411,1.6560432
412,1.6528175
413,1.6531012
414,1.5957333
415,1.6823905
416,1.6312227
417,1.6397548
418,1.615048
419,1.6617435
420,1.6344965
421,1.6782175
422,1.6149323
423,1.6415464
424,1.5682808
425,1.6304069
426,1.5855347
427,1.6875324
428,1.5870984
429,1.614177
430,1.6027937
431,1.6929945
432,1.5896995
433,1.6463689
434,1.5857294
435,1.6597531
436,1.5953622
437,1.6612473
438,1.6141388
439,1.6661448
440,1.6124514
441,1.6126497
442,1.6216476
443,1.6332783
444,1.6423223
445,1.6530607
446,1.6261294
447,1.6499014
448,1.6034809
449,1.6321037
450,1.6356546
451,1.6339512
452,1.6365242
453,1.6961596
454,1.5816519
455,1.6223097
456,1.614646
457,1.643599
458,1.653657
459,1.6403009
460,1.6318195
461,1.643871
462,1.6281909
463,1.6448666
464,1.5948666
465,1.5529466
466,1.5754174
467,1.653225
468,1.5838563
469,1.6130962
470,1.6477085
471,1.6242523
472,1.6178806
473,1.5814486
474,1.5944463
475,1.6093742
476,1.5919495
477,1.5560532
