,0
0,0.51446855
1,0.564089
2,0.50905883
3,0.43961325
4,0.39704037
5,0.3401174
6,0.311588
7,0.26278627
8,0.23559351
9,0.21501875
10,0.2022044
11,0.20037797
12,0.19307852
13,0.18596756
14,0.18333212
15,0.18667962
16,0.18341853
17,0.18345639
18,0.18712854
19,0.18999794
20,0.19913524
21,0.19328895
22,0.18562602
23,0.18507919
24,0.18811354
25,0.19657281
26,0.19672228
27,0.21690908
28,0.21339202
29,0.2158428
30,0.22237223
31,0.23071387
32,0.33678618
33,0.36639088
34,0.28932106
35,0.37579408
36,0.3901864
37,0.3144369
38,0.21700579
39,0.20753798
40,0.1928887
41,0.18227682
42,0.17130445
43,0.16946039
44,0.16808188
45,0.1673728
46,0.16659188
47,0.16594815
48,0.16561686
49,0.1652826
50,0.16524802
51,0.16506514
52,0.16510355
53,0.1648864
54,0.16504118
55,0.16522846
56,0.16530077
57,0.165416
58,0.16542825
59,0.16660747
60,0.16569403
61,0.16662657
62,0.16639493
63,0.16829938
64,0.17293647
65,0.17592645
66,0.18315007
67,0.18412983
68,0.1871123
69,0.17663679
70,0.170024
71,0.16645244
72,0.16546048
73,0.16463968
74,0.16376184
75,0.16335964
76,0.16403963
77,0.16369821
78,0.16628416
79,0.16647932
80,0.16583818
81,0.16514435
82,0.16554509
83,0.16560745
84,0.16766489
85,0.1654517
86,0.1642242
87,0.1635671
88,0.16332509
89,0.16234261
90,0.16257398
91,0.1627746
92,0.16264138
93,0.16388398
94,0.16563632
95,0.16478767
96,0.16508143
97,0.16406539
98,0.16426358
99,0.1635682
100,0.16351521
101,0.16249537
102,0.1623962
103,0.16183092
104,0.16186014
105,0.1615431
106,0.1614237
107,0.16130957
108,0.1616198
109,0.16140884
110,0.16137639
111,0.16143703
112,0.16160958
113,0.16192345
114,0.16363317
115,0.16606429
116,0.2077224
117,0.43995845
118,0.3777569
119,0.3450297
120,0.29378533
121,0.26913744
122,0.2552114
123,0.25987014
124,0.23339334
125,0.22658448
126,0.21447407
127,0.20903708
128,0.20565987
129,0.20129442
130,0.19794008
131,0.194206
132,0.19389312
133,0.19409344
134,0.19496563
135,0.19597858
136,0.19771178
137,0.20112616
138,0.229608
139,0.21458961
140,0.20845814
141,0.21111944
142,0.19938433
143,0.18964295
144,0.18704647
145,0.17574887
146,0.17505315
147,0.17474458
148,0.17621103
149,0.17634514
150,0.17552719
151,0.17463472
152,0.17389718
153,0.17446826
154,0.17410791
155,0.17601368
156,0.18436342
157,0.21583281
158,0.26850742
159,0.23995706
160,0.24447377
161,0.27004248
162,0.3425191
163,0.39203185
164,0.39251623
165,0.34311858
166,0.29362145
167,0.27283072
168,0.26356122
169,0.24964872
170,0.2449226
171,0.23508343
172,0.2322714
173,0.23653434
174,0.23292956
175,0.2849961
176,0.3063799
177,0.3076572
178,0.2721278
179,0.2296997
180,0.21746992
181,0.20509961
182,0.19592413
183,0.19627368
184,0.19539052
185,0.19500606
186,0.19227147
187,0.19359846
188,0.19227895
189,0.19961256
190,0.20442204
191,0.24552634
192,0.37806737
193,0.3936519
194,0.34539196
195,0.31830177
196,0.30949938
197,0.27054456
198,0.25170428
199,0.24026968
200,0.24236076
201,0.23637322
202,0.22647369
203,0.22121406
204,0.22870067
205,0.22335769
