

---------
NEXT RUN
---------
    0: 	G_loss: 26.7299	D_loss: 0.2586	Cycle_loss: 1.7421	Identity_loss:1.7459	A2B_loss: 0.3005	B2A_loss: 0.2791	d_A_loss: 0.2578	d_B_loss: 0.2594
  100: 	G_loss: 22.4189	D_loss: 0.0380	Cycle_loss: 1.4276	Identity_loss:1.3597	A2B_loss: 0.6767	B2A_loss: 0.6672	d_A_loss: 0.0371	d_B_loss: 0.0389
  200: 	G_loss: 22.9308	D_loss: 0.0127	Cycle_loss: 1.4478	Identity_loss:1.3545	A2B_loss: 0.8430	B2A_loss: 0.8373	d_A_loss: 0.0120	d_B_loss: 0.0133
  300: 	G_loss: 21.6187	D_loss: 0.0064	Cycle_loss: 1.3649	Identity_loss:1.2397	A2B_loss: 0.8787	B2A_loss: 0.8929	d_A_loss: 0.0054	d_B_loss: 0.0074
  400: 	G_loss: 20.3872	D_loss: 0.0067	Cycle_loss: 1.2857	Identity_loss:1.1481	A2B_loss: 0.8705	B2A_loss: 0.9193	d_A_loss: 0.0032	d_B_loss: 0.0103
  500: 	G_loss: 19.2386	D_loss: 0.0674	Cycle_loss: 1.2066	Identity_loss:1.0821	A2B_loss: 0.9269	B2A_loss: 0.8356	d_A_loss: 0.1320	d_B_loss: 0.0029
  600: 	G_loss: 17.6766	D_loss: 0.0019	Cycle_loss: 1.0891	Identity_loss:0.9806	A2B_loss: 0.9437	B2A_loss: 0.9391	d_A_loss: 0.0016	d_B_loss: 0.0021
  700: 	G_loss: 17.0737	D_loss: 0.0943	Cycle_loss: 1.0554	Identity_loss:0.9538	A2B_loss: 0.7965	B2A_loss: 0.9546	d_A_loss: 0.0008	d_B_loss: 0.1878
  800: 	G_loss: 17.1037	D_loss: 0.0020	Cycle_loss: 1.0481	Identity_loss:0.9456	A2B_loss: 0.9468	B2A_loss: 0.9485	d_A_loss: 0.0011	d_B_loss: 0.0029
  900: 	G_loss: 17.7761	D_loss: 0.0008	Cycle_loss: 1.0856	Identity_loss:0.9995	A2B_loss: 0.9572	B2A_loss: 0.9658	d_A_loss: 0.0004	d_B_loss: 0.0012
 1000: 	G_loss: 17.4905	D_loss: 0.0024	Cycle_loss: 1.0733	Identity_loss:0.9725	A2B_loss: 0.9358	B2A_loss: 0.9593	d_A_loss: 0.0009	d_B_loss: 0.0039
 1100: 	G_loss: 15.9616	D_loss: 0.0005	Cycle_loss: 0.9833	Identity_loss:0.8379	A2B_loss: 0.9670	B2A_loss: 0.9717	d_A_loss: 0.0003	d_B_loss: 0.0007
 1200: 	G_loss: 15.7013	D_loss: 0.0010	Cycle_loss: 0.9586	Identity_loss:0.8397	A2B_loss: 0.9594	B2A_loss: 0.9569	d_A_loss: 0.0006	d_B_loss: 0.0014
 1300: 	G_loss: 17.9987	D_loss: 0.0008	Cycle_loss: 1.1233	Identity_loss:0.9660	A2B_loss: 0.9599	B2A_loss: 0.9753	d_A_loss: 0.0003	d_B_loss: 0.0013
 1400: 	G_loss: 15.2936	D_loss: 0.0008	Cycle_loss: 0.9282	Identity_loss:0.8135	A2B_loss: 0.9668	B2A_loss: 0.9774	d_A_loss: 0.0009	d_B_loss: 0.0007
 1500: 	G_loss: 16.2668	D_loss: 0.0003	Cycle_loss: 0.9984	Identity_loss:0.8670	A2B_loss: 0.9716	B2A_loss: 0.9756	d_A_loss: 0.0003	d_B_loss: 0.0004
 1600: 	G_loss: 15.0454	D_loss: 0.0003	Cycle_loss: 0.9091	Identity_loss:0.8002	A2B_loss: 0.9745	B2A_loss: 0.9791	d_A_loss: 0.0003	d_B_loss: 0.0003
 1700: 	G_loss: 14.1611	D_loss: 0.0002	Cycle_loss: 0.8382	Identity_loss:0.7643	A2B_loss: 0.9780	B2A_loss: 0.9797	d_A_loss: 0.0001	d_B_loss: 0.0002
 1800: 	G_loss: 14.2375	D_loss: 0.0005	Cycle_loss: 0.8497	Identity_loss:0.7599	A2B_loss: 0.9632	B2A_loss: 0.9783	d_A_loss: 0.0002	d_B_loss: 0.0008
 1900: 	G_loss: 14.1147	D_loss: 0.0004	Cycle_loss: 0.8443	Identity_loss:0.7432	A2B_loss: 0.9749	B2A_loss: 0.9809	d_A_loss: 0.0002	d_B_loss: 0.0006
 2000: 	G_loss: 13.7071	D_loss: 0.0002	Cycle_loss: 0.8095	Identity_loss:0.7297	A2B_loss: 0.9807	B2A_loss: 0.9833	d_A_loss: 0.0001	d_B_loss: 0.0002
