

---------
NEXT RUN
---------
    0: 	G_loss: 23.8297	D_loss: 0.2557	Cycle_loss: 1.5480	Identity_loss:1.5599	A2B_loss: 0.2706	B2A_loss: 0.2791	d_A_loss: 0.2567	d_B_loss: 0.2548
  100: 	G_loss: 22.3240	D_loss: 0.0374	Cycle_loss: 1.4195	Identity_loss:1.3448	A2B_loss: 0.7255	B2A_loss: 0.6792	d_A_loss: 0.0402	d_B_loss: 0.0346
  200: 	G_loss: 22.6439	D_loss: 0.0121	Cycle_loss: 1.4352	Identity_loss:1.3233	A2B_loss: 0.8455	B2A_loss: 0.8299	d_A_loss: 0.0104	d_B_loss: 0.0139
  300: 	G_loss: 22.1348	D_loss: 0.0042	Cycle_loss: 1.3942	Identity_loss:1.2808	A2B_loss: 0.8904	B2A_loss: 0.8986	d_A_loss: 0.0037	d_B_loss: 0.0047
  400: 	G_loss: 20.5869	D_loss: 0.0288	Cycle_loss: 1.2875	Identity_loss:1.1873	A2B_loss: 0.8565	B2A_loss: 0.9192	d_A_loss: 0.0023	d_B_loss: 0.0553
  500: 	G_loss: 18.2259	D_loss: 0.0043	Cycle_loss: 1.1386	Identity_loss:0.9994	A2B_loss: 0.9286	B2A_loss: 0.9139	d_A_loss: 0.0046	d_B_loss: 0.0039
  600: 	G_loss: 18.9259	D_loss: 0.0014	Cycle_loss: 1.1847	Identity_loss:1.0376	A2B_loss: 0.9426	B2A_loss: 0.9486	d_A_loss: 0.0014	d_B_loss: 0.0013


---------
NEXT RUN
---------
    0: 	G_loss: 26.4771	D_loss: 0.5146	Cycle_loss: 17.1828	Identity_loss:8.6421	A2B_loss: 0.0000	B2A_loss: 0.0000	d_A_loss: 0.0000	d_B_loss: 0.0000
  100: 	G_loss: 22.0224	D_loss: 0.0602	Cycle_loss: 14.0098	Identity_loss:6.5852	A2B_loss: 0.0000	B2A_loss: 0.0000	d_A_loss: 0.0000	d_B_loss: 0.0000
  200: 	G_loss: 21.0541	D_loss: 0.0275	Cycle_loss: 13.1736	Identity_loss:6.2082	A2B_loss: 0.0000	B2A_loss: 0.0000	d_A_loss: 0.0000	d_B_loss: 0.0000
  300: 	G_loss: 19.7963	D_loss: 0.0116	Cycle_loss: 12.3328	Identity_loss:5.6657	A2B_loss: 0.0000	B2A_loss: 0.0000	d_A_loss: 0.0000	d_B_loss: 0.0000


---------
NEXT RUN
---------
    0: 	G_loss: 27.3550	D_loss: 0.5155	Cycle_loss: 17.8522	Identity_loss:8.9346	A2B_loss: 0.2818	B2A_loss: 0.2864	d_A_loss: 0.5130	d_B_loss: 0.5180
  100: 	G_loss: 22.1321	D_loss: 0.0714	Cycle_loss: 14.1305	Identity_loss:6.6128	A2B_loss: 0.7035	B2A_loss: 0.6853	d_A_loss: 0.0756	d_B_loss: 0.0672
  200: 	G_loss: 21.3045	D_loss: 0.0230	Cycle_loss: 13.5033	Identity_loss:6.1060	A2B_loss: 0.8541	B2A_loss: 0.8412	d_A_loss: 0.0228	d_B_loss: 0.0231
  300: 	G_loss: 20.3840	D_loss: 0.0237	Cycle_loss: 12.7783	Identity_loss:5.8474	A2B_loss: 0.8667	B2A_loss: 0.8916	d_A_loss: 0.0127	d_B_loss: 0.0348
  400: 	G_loss: 20.5861	D_loss: 0.0061	Cycle_loss: 13.0673	Identity_loss:5.6795	A2B_loss: 0.9200	B2A_loss: 0.9193	d_A_loss: 0.0074	d_B_loss: 0.0048
  500: 	G_loss: 18.1049	D_loss: 0.0049	Cycle_loss: 11.1141	Identity_loss:5.1200	A2B_loss: 0.9381	B2A_loss: 0.9326	d_A_loss: 0.0056	d_B_loss: 0.0041
  600: 	G_loss: 20.6684	D_loss: 0.0024	Cycle_loss: 13.0519	Identity_loss:5.7269	A2B_loss: 0.9441	B2A_loss: 0.9455	d_A_loss: 0.0027	d_B_loss: 0.0022
  700: 	G_loss: 17.7878	D_loss: 0.0031	Cycle_loss: 10.9269	Identity_loss:4.9562	A2B_loss: 0.9502	B2A_loss: 0.9545	d_A_loss: 0.0025	d_B_loss: 0.0037
  800: 	G_loss: 19.0409	D_loss: 0.0066	Cycle_loss: 11.8005	Identity_loss:5.3413	A2B_loss: 0.9549	B2A_loss: 0.9442	d_A_loss: 0.0106	d_B_loss: 0.0025
  900: 	G_loss: 16.2761	D_loss: 0.0016	Cycle_loss: 9.8546	Identity_loss:4.4951	A2B_loss: 0.9615	B2A_loss: 0.9650	d_A_loss: 0.0012	d_B_loss: 0.0019
 1000: 	G_loss: 16.5310	D_loss: 0.0011	Cycle_loss: 10.0785	Identity_loss:4.5185	A2B_loss: 0.9676	B2A_loss: 0.9665	d_A_loss: 0.0011	d_B_loss: 0.0011
 1100: 	G_loss: 16.6404	D_loss: 0.0022	Cycle_loss: 10.1075	Identity_loss:4.6136	A2B_loss: 0.9472	B2A_loss: 0.9720	d_A_loss: 0.0010	d_B_loss: 0.0035
 1200: 	G_loss: 17.0156	D_loss: 0.0013	Cycle_loss: 10.4421	Identity_loss:4.6382	A2B_loss: 0.9611	B2A_loss: 0.9743	d_A_loss: 0.0005	d_B_loss: 0.0020
 1300: 	G_loss: 16.3757	D_loss: 0.0010	Cycle_loss: 10.0363	Identity_loss:4.3973	A2B_loss: 0.9643	B2A_loss: 0.9778	d_A_loss: 0.0004	d_B_loss: 0.0016
 1400: 	G_loss: 15.4754	D_loss: 0.0005	Cycle_loss: 9.4028	Identity_loss:4.1206	A2B_loss: 0.9749	B2A_loss: 0.9771	d_A_loss: 0.0005	d_B_loss: 0.0005
 1500: 	G_loss: 15.2514	D_loss: 0.0007	Cycle_loss: 9.1905	Identity_loss:4.1136	A2B_loss: 0.9672	B2A_loss: 0.9801	d_A_loss: 0.0004	d_B_loss: 0.0009
 1600: 	G_loss: 15.3439	D_loss: 0.0004	Cycle_loss: 9.2472	Identity_loss:4.1404	A2B_loss: 0.9749	B2A_loss: 0.9813	d_A_loss: 0.0003	d_B_loss: 0.0005
 1700: 	G_loss: 13.8362	D_loss: 0.0523	Cycle_loss: 8.3057	Identity_loss:3.6541	A2B_loss: 0.8921	B2A_loss: 0.9843	d_A_loss: 0.0003	d_B_loss: 0.1043
 1800: 	G_loss: 13.8349	D_loss: 0.2326	Cycle_loss: 8.4232	Identity_loss:3.8126	A2B_loss: 0.6166	B2A_loss: 0.9825	d_A_loss: 0.0002	d_B_loss: 0.4649
 1900: 	G_loss: 14.4585	D_loss: 0.1247	Cycle_loss: 8.7894	Identity_loss:4.0434	A2B_loss: 0.6414	B2A_loss: 0.9843	d_A_loss: 0.0002	d_B_loss: 0.2491
 2000: 	G_loss: 13.9277	D_loss: 0.1050	Cycle_loss: 8.5682	Identity_loss:3.8251	A2B_loss: 0.5485	B2A_loss: 0.9858	d_A_loss: 0.0002	d_B_loss: 0.2099
 2100: 	G_loss: 15.2393	D_loss: 0.2260	Cycle_loss: 9.4891	Identity_loss:4.2390	A2B_loss: 0.5274	B2A_loss: 0.9838	d_A_loss: 0.0002	d_B_loss: 0.4518
 2200: 	G_loss: 12.9126	D_loss: 0.1859	Cycle_loss: 8.0000	Identity_loss:3.5247	A2B_loss: 0.4587	B2A_loss: 0.9292	d_A_loss: 0.0244	d_B_loss: 0.3475
 2300: 	G_loss: 13.3133	D_loss: 0.2164	Cycle_loss: 8.2193	Identity_loss:3.6734	A2B_loss: 0.4636	B2A_loss: 0.9570	d_A_loss: 0.0024	d_B_loss: 0.4303
 2400: 	G_loss: 13.2848	D_loss: 0.2460	Cycle_loss: 8.3049	Identity_loss:3.6829	A2B_loss: 0.3314	B2A_loss: 0.9656	d_A_loss: 0.0010	d_B_loss: 0.4910
 2500: 	G_loss: 13.2011	D_loss: 0.1665	Cycle_loss: 8.0174	Identity_loss:3.6676	A2B_loss: 0.5422	B2A_loss: 0.9739	d_A_loss: 0.0014	d_B_loss: 0.3316
 2600: 	G_loss: 12.4253	D_loss: 0.1163	Cycle_loss: 7.4568	Identity_loss:3.3377	A2B_loss: 0.6526	B2A_loss: 0.9781	d_A_loss: 0.0006	d_B_loss: 0.2320
 2700: 	G_loss: 13.1266	D_loss: 0.1245	Cycle_loss: 7.9114	Identity_loss:3.6099	A2B_loss: 0.6268	B2A_loss: 0.9785	d_A_loss: 0.0005	d_B_loss: 0.2485
 2800: 	G_loss: 12.4300	D_loss: 0.2732	Cycle_loss: 7.5839	Identity_loss:3.4843	A2B_loss: 0.3783	B2A_loss: 0.9835	d_A_loss: 0.0003	d_B_loss: 0.5461
 2900: 	G_loss: 12.0045	D_loss: 0.1841	Cycle_loss: 7.3258	Identity_loss:3.2315	A2B_loss: 0.4631	B2A_loss: 0.9840	d_A_loss: 0.0002	d_B_loss: 0.3679
 3000: 	G_loss: 12.3559	D_loss: 0.1847	Cycle_loss: 7.5293	Identity_loss:3.3505	A2B_loss: 0.4961	B2A_loss: 0.9801	d_A_loss: 0.0004	d_B_loss: 0.3689
 3100: 	G_loss: 12.0647	D_loss: 0.1832	Cycle_loss: 7.2137	Identity_loss:3.3182	A2B_loss: 0.5489	B2A_loss: 0.9839	d_A_loss: 0.0002	d_B_loss: 0.3661
 3200: 	G_loss: 11.9371	D_loss: 0.2214	Cycle_loss: 7.2257	Identity_loss:3.3229	A2B_loss: 0.4035	B2A_loss: 0.9849	d_A_loss: 0.0003	d_B_loss: 0.4425
 3300: 	G_loss: 11.5331	D_loss: 0.1418	Cycle_loss: 6.8399	Identity_loss:3.1363	A2B_loss: 0.5700	B2A_loss: 0.9868	d_A_loss: 0.0001	d_B_loss: 0.2835
 3400: 	G_loss: 11.9228	D_loss: 0.1502	Cycle_loss: 7.1082	Identity_loss:3.2536	A2B_loss: 0.5732	B2A_loss: 0.9879	d_A_loss: 0.0002	d_B_loss: 0.3001
 3500: 	G_loss: 11.5896	D_loss: 0.1488	Cycle_loss: 6.8716	Identity_loss:3.1407	A2B_loss: 0.5897	B2A_loss: 0.9876	d_A_loss: 0.0001	d_B_loss: 0.2975
 3600: 	G_loss: 11.5671	D_loss: 0.0982	Cycle_loss: 6.8046	Identity_loss:3.1632	A2B_loss: 0.6115	B2A_loss: 0.9878	d_A_loss: 0.0001	d_B_loss: 0.1963
